"no","Agex","Agex_h","p11","p12","p13","p21","p22","p23","name"
"1","83","84","0.80725","0.17525","0.01750","0.10523","0.70558","0.18918","ATMsr"
"1","84","85","0.79985","0.18017","0.01998","0.10189","0.69247","0.20564","ATMsr"
"1","85","86","0.79213","0.18509","0.02278","0.09850","0.67827","0.22322","ATMsr"
"1","86","87","0.78407","0.18997","0.02596","0.09507","0.66299","0.24195","ATMsr"
"1","87","88","0.77566","0.19479","0.02956","0.09159","0.64659","0.26182","ATMsr"
"1","88","89","0.76686","0.19952","0.03362","0.08806","0.62909","0.28285","ATMsr"
"1","89","90","0.75764","0.20415","0.03821","0.08450","0.61049","0.30501","ATMsr"
"1","90","91","0.74799","0.20863","0.04338","0.08091","0.59082","0.32827","ATMsr"
"1","50","51","0.98578","0.01326","0.00097","0.22303","0.76839","0.00857","BEFadl"
"1","51","52","0.98470","0.01423","0.00107","0.22153","0.76910","0.00937","BEFadl"
"1","52","53","0.98353","0.01528","0.00118","0.22002","0.76975","0.01023","BEFadl"
"1","53","54","0.98228","0.01640","0.00131","0.21850","0.77033","0.01118","BEFadl"
"1","54","55","0.98094","0.01761","0.00145","0.21696","0.77083","0.01221","BEFadl"
"1","55","56","0.97950","0.01890","0.00161","0.21542","0.77125","0.01333","BEFadl"
"1","56","57","0.97794","0.02028","0.00178","0.21385","0.77158","0.01456","BEFadl"
"1","57","58","0.97627","0.02176","0.00197","0.21228","0.77182","0.01590","BEFadl"
"1","58","59","0.97448","0.02335","0.00218","0.21068","0.77195","0.01736","BEFadl"
"1","59","60","0.97255","0.02504","0.00241","0.20907","0.77198","0.01896","BEFadl"
"1","60","61","0.97047","0.02686","0.00267","0.20743","0.77188","0.02069","BEFadl"
"1","61","62","0.96824","0.02880","0.00296","0.20577","0.77164","0.02259","BEFadl"
"1","62","63","0.96585","0.03088","0.00327","0.20408","0.77127","0.02465","BEFadl"
"1","63","64","0.96328","0.03310","0.00363","0.20237","0.77074","0.02690","BEFadl"
"1","64","65","0.96051","0.03547","0.00402","0.20062","0.77003","0.02934","BEFadl"
"1","65","66","0.95755","0.03801","0.00445","0.19884","0.76915","0.03201","BEFadl"
"1","66","67","0.95436","0.04071","0.00493","0.19703","0.76807","0.03490","BEFadl"
"1","67","68","0.95095","0.04360","0.00546","0.19517","0.76677","0.03806","BEFadl"
"1","68","69","0.94728","0.04667","0.00604","0.19328","0.76524","0.04148","BEFadl"
"1","69","70","0.94336","0.04995","0.00670","0.19133","0.76346","0.04521","BEFadl"
"1","70","71","0.93914","0.05344","0.00742","0.18934","0.76141","0.04925","BEFadl"
"1","71","72","0.93463","0.05715","0.00822","0.18730","0.75906","0.05364","BEFadl"
"1","72","73","0.92980","0.06109","0.00911","0.18519","0.75640","0.05841","BEFadl"
"1","73","74","0.92463","0.06528","0.01009","0.18303","0.75340","0.06357","BEFadl"
"1","74","75","0.91909","0.06973","0.01118","0.18080","0.75003","0.06917","BEFadl"
"1","75","76","0.91317","0.07444","0.01239","0.17850","0.74628","0.07522","BEFadl"
"1","76","77","0.90685","0.07942","0.01373","0.17613","0.74210","0.08177","BEFadl"
"1","77","78","0.90009","0.08469","0.01521","0.17368","0.73748","0.08885","BEFadl"
"1","78","79","0.89288","0.09026","0.01686","0.17115","0.73237","0.09648","BEFadl"
"1","79","80","0.88520","0.09613","0.01868","0.16853","0.72676","0.10472","BEFadl"
"1","80","81","0.87701","0.10230","0.02069","0.16581","0.72060","0.11359","BEFadl"
"1","81","82","0.86829","0.10879","0.02292","0.16300","0.71387","0.12313","BEFadl"
"1","82","83","0.85902","0.11560","0.02538","0.16010","0.70653","0.13337","BEFadl"
"1","83","84","0.84917","0.12272","0.02811","0.15708","0.69856","0.14436","BEFadl"
"1","84","85","0.83872","0.13017","0.03112","0.15396","0.68991","0.15613","BEFadl"
"1","85","86","0.82764","0.13792","0.03444","0.15073","0.68057","0.16870","BEFadl"
"1","86","87","0.81592","0.14597","0.03811","0.14738","0.67050","0.18212","BEFadl"
"1","87","88","0.80353","0.15432","0.04215","0.14392","0.65968","0.19640","BEFadl"
"1","88","89","0.79045","0.16295","0.04660","0.14034","0.64808","0.21158","BEFadl"
"1","89","90","0.77667","0.17183","0.05150","0.13664","0.63569","0.22767","BEFadl"
"1","90","91","0.76218","0.18094","0.05688","0.13282","0.62250","0.24468","BEFadl"
"1","50","51","0.94728","0.05231","0.00041","0.37285","0.61911","0.00804","BEFgali"
"1","51","52","0.94643","0.05310","0.00047","0.36595","0.62521","0.00884","BEFgali"
"1","52","53","0.94557","0.05389","0.00054","0.35911","0.63118","0.00971","BEFgali"
"1","53","54","0.94470","0.05469","0.00061","0.35232","0.63702","0.01066","BEFgali"
"1","54","55","0.94380","0.05550","0.00070","0.34558","0.64271","0.01171","BEFgali"
"1","55","56","0.94288","0.05631","0.00080","0.33888","0.64826","0.01286","BEFgali"
"1","56","57","0.94194","0.05714","0.00092","0.33225","0.65364","0.01412","BEFgali"
"1","57","58","0.94098","0.05797","0.00105","0.32566","0.65885","0.01549","BEFgali"
"1","58","59","0.93999","0.05880","0.00121","0.31912","0.66388","0.01700","BEFgali"
"1","59","60","0.93897","0.05964","0.00138","0.31264","0.66872","0.01865","BEFgali"
"1","60","61","0.93792","0.06049","0.00159","0.30620","0.67335","0.02045","BEFgali"
"1","61","62","0.93684","0.06134","0.00182","0.29982","0.67777","0.02242","BEFgali"
"1","62","63","0.93571","0.06220","0.00209","0.29348","0.68195","0.02457","BEFgali"
"1","63","64","0.93454","0.06306","0.00239","0.28719","0.68589","0.02693","BEFgali"
"1","64","65","0.93333","0.06393","0.00275","0.28094","0.68956","0.02950","BEFgali"
"1","65","66","0.93205","0.06479","0.00316","0.27474","0.69295","0.03230","BEFgali"
"1","66","67","0.93071","0.06566","0.00362","0.26859","0.69605","0.03536","BEFgali"
"1","67","68","0.92931","0.06653","0.00416","0.26247","0.69882","0.03870","BEFgali"
"1","68","69","0.92782","0.06740","0.00478","0.25640","0.70126","0.04234","BEFgali"
"1","69","70","0.92624","0.06827","0.00549","0.25036","0.70334","0.04630","BEFgali"
"1","70","71","0.92456","0.06913","0.00631","0.24436","0.70503","0.05061","BEFgali"
"1","71","72","0.92276","0.06998","0.00726","0.23839","0.70630","0.05531","BEFgali"
"1","72","73","0.92082","0.07083","0.00834","0.23245","0.70714","0.06040","BEFgali"
"1","73","74","0.91874","0.07167","0.00959","0.22654","0.70752","0.06594","BEFgali"
"1","74","75","0.91647","0.07250","0.01103","0.22065","0.70739","0.07195","BEFgali"
"1","75","76","0.91401","0.07330","0.01269","0.21479","0.70674","0.07847","BEFgali"
